List;Description;Title;Hex;Data;Save;Version;Developer;Info;Likes;URL;Source;Start;End;Hash
0;Bootloader;arduboy-fx-loader.png;;;;;;./Cart_GetList.php?listId=4&filename=full;;;;;;
1;Maintenance;8BitCadeXL/category-screens/Maintenance.png;;;;;;;;;;;;;
1;Battery Test;8BitCadeXL/Maintenance/Battery Test.png;8BitCadeXL/Maintenance/Battery Test.hex;;;1.0;Jack Daly;Test the battery on your 8BitCadeXL;;;;;;;
2;Millipe;8BitCadeXL/Arcade/Millipe.png;8BitCadeXL/Arcade/Millipe.hex;;;1.0;Dreamer2345;A small Centipede clone.;;https://community.arduboy.com/t/millipe-game-for-arduboy/4746;https://github.com/Dreamer2345/Millipe;na;na;na;
2;Octopus;8BitCadeXL/Arcade/Octopus.png;8BitCadeXL/Arcade/Octopus.hex;;;1.0;Roby;A port of the Game and Watch game 'Octopus'.;;https://community.arduboy.com/t/octopus-game-watch/8571;https://github.com/rferrari81/Arduboy-Octopus;;;;
2;Oil Panic;8BitCadeXL/Arcade/OilPanic.png;8BitCadeXL/Arcade/OilPanic.hex;;;1.0;Press Play On Tape;Inspired by yet another Game and Watch - PPOT presents Oil Panic. Catch all the oil before it sets the shop on fire!;;https://community.arduboy.com/t/oil-panic-v1-0/9278;https://github.com/Press-Play-On-Tape/OilPanic;543;563;0;
2;Pactastic;8BitCadeXL/Arcade/Pactastic.png;8BitCadeXL/Arcade/Pactastic.hex;;;1.0;Dragula96;A cross between two classic games - PacMan and Snake.;;https://community.arduboy.com/t/pac-tastic/5654;https://github.com/dragula96/pactastic;na;na;na;
2;Paqman_Seth;8BitCadeXL/Arcade/Paqman.png;8BitCadeXL/Arcade/Paqman.hex;;;1.0;Seth;Re-live the nostalgic glory of games like Pac-Man and Lock 'n' Chase (with a few less pixels..) right on your Arduboy!;;;;;;;
2;Paqman;8BitCadeXL/Arcade/Paqman_Classic.png;8BitCadeXL/Arcade/Paqman_Classic.hex;;;1.0;Yoda;Gamebuino port of the classic Pacman.;;http://legacy.gamebuino.com/forum/viewtopic.php?f=17&t=963;;na;na;na;
2;Pong;8BitCadeXL/Arcade/Pong.png;8BitCadeXL/Arcade/Pong.hex;;;1.0;Unknown;One or two player version of the classic Pong.;;;;;;;
2;RoboDodge;8BitCadeXL/Arcade/RoboDodge.png;8BitCadeXL/Arcade/RoboDodge.hex;;;1.0;Gaveno;Control your very own small robot as you dodge the barrage of incoming rockets!;;https://community.arduboy.com/t/robododge-dodge-the-rockets/427;https://github.com/Gaveno/RoboDodge-Arduboy.git;na;na;na;
2;Rooftop Rescue;8BitCadeXL/Arcade/RooftopRescue.png;8BitCadeXL/Arcade/RooftopRescue.hex;;;1.0;Prototype;Rescue the trapped people as fire consumes the city.;;https://community.arduboy.com/t/rooftop-rescue/7269;https://github.com/BertVeer/Rooftop;911;913;0;
2;Sea Battle;8BitCadeXL/Arcade/Sea Battle.png;8BitCadeXL/Arcade/Sea Battle.hex;;;1.0;DarkestSpire;Based on the game BattleShips. This game has a simple AI and music, but is smart enough to be challenging.;;https://community.arduboy.com/t/sea-battle/9394;https://github.com/DarkestSpire/SEA_BATTLE;;;;
2;Shadow Runner;8BitCadeXL/Arcade/ShadowRunner.png;8BitCadeXL/Arcade/ShadowRunner.hex;;;1.0;Team ARG;A shadow lost his kid by wandering too far away from the light. Now it must find its coloured equal to become one again.;;https://community.arduboy.com/t/shadow-runner-first-conversion-of-a-team-a-r-g-game/239;;na;na;na;
2;Space Cab;8BitCadeXL/Arcade/SpaceCab.png;8BitCadeXL/Arcade/SpaceCab.hex;;;1.0.1;Press Play On Tape;A tribute to the classic Commodore 64 game Space Taxi! Collect and deliver customers to their destination as quickly as possible to make the most money! But be careful and make sure you do not run out of fuel land without deploying your landing gear or squash a customer.;;https://community.arduboy.com/t/space-cab-v1-0-1/6055;https://github.com/Press-Play-On-Tape/SpaceCab;166;193;0;
2;Startrek;8BitCadeXL/Arcade/Startrek.png;8BitCadeXL/Arcade/Startrek.hex;;;1.0;BlueMax;Simulator based on the Star Trek game.;;;;;;;
2;Stellar Impact;8BitCadeXL/Arcade/StellarImpact.png;8BitCadeXL/Arcade/StellarImpact.hex;;;1.0;gnargle;A space shoot 'em up with procedurally generated starfields. Watch for the bomb that freezes time!;;https://community.arduboy.com/t/stellar-impact-a-space-shoot-em-up/994;https://github.com/gnargle/Stellar_Impact;39;56;0;
2;Tempest;8BitCadeXL/Arcade/Tempest.png;8BitCadeXL/Arcade/Tempest.hex;;;1.0;Colin TA;Inspired by Tempest, this is a straightforward shooter, except you rotate around the center and shoot towards the middle. Enemies emerge from the 'portal' in the middle.;;;;;;;
2;Tiny Bert;8BitCadeXL/Arcade/Tiny Bert.png;8BitCadeXL/Arcade/Tiny Bert.hex;;;1.0;Daniel C (Electro L.I.B);Move Bert between the squares by jumping about avoiding the bad guys.;;https://sites.google.com/view/arduino-collection/arduboy;https://drive.google.com/uc?export=download&id=1vKUBZahmofEcEgrL_OlXQKrAiZvigSq5;na;na;na;
2;Tiny DDUG;8BitCadeXL/Arcade/Tiny DDug.png;8BitCadeXL/Arcade/Tiny DDug.hex;;;1.0;Daniel C;Control Dig Dug to defeat all enemies per stage, by either inflating them to bursting or crushing them underneath rocks.;;https://sites.google.com/view/arduino-collection/arduboy;https://drive.google.com/uc?export=download&id=1GB12D3cidtjjytbZHl2iDVlcuh40ReRI;na;na;na;
2;To;8BitCadeXL/Arcade/To.png;8BitCadeXL/Arcade/To.hex;;;1.0;waday;You are the developer of the door with the teleport function. But just before completion, someone is trying to destroy the door. There seems to be no choice but to distort the space with the power of the door and to prevent destruction.;;https://community.arduboy.com/t/to-action-game/2503;https://github.com/waday/to;150;199;0;
2;Zoo Escape;8BitCadeXL/Arcade/ZooEscape.png;8BitCadeXL/Arcade/ZooEscape.hex;;;1.0;FerJerez;The animals have escaped! Avoid the animals by jumping over them and landing on the crocodiles mouth to snap it shut.;;https://community.arduboy.com/t/zooescape-entry-for-the-jam/3544;https://github.com/ferjerez/ZooEscape;na;na;na;
3;2 Player;8BitCadeXL/category-screens/2 Player.png;;;;;;;;;;;;;
3;Ant Crusher;8BitCadeXL/2 Player/Ant Crusher.png;8BitCadeXL/2 Player/Ant Crusher.hex;;;1.0;Devloped By Tom;As its name suggests, you must crush the ants underfoot!;;;;;;;
3;Bip Bipbip;8BitCadeXL/2 Player/Bip Bip.png;8BitCadeXL/2 Player/Bip Bip.hex;;;1.0;JuiceLizard;A 'Pong' demake named 'Bip Bipbip' for two players. How to win? It is simple. If the ball touchs your opponent when he doesn't press his button or if his rectangle reaches the middle of the screen before yours then he loses.;;https://community.arduboy.com/t/bip-bipbip-le-jeu-1d/3977;https://github.com/JuiceLizard/BIP_BIPBIP;na;na;na;
3;Pong Extreme;8BitCadeXL/2 Player/Pong Extreme.png;8BitCadeXL/2 Player/Pong Extreme.hex;;;1.0;Unknown;One and two player versin of pong.;;;;;;;
3;TwoTris;8BitCadeXL/2 Player/TwoP Tetris.png;8BitCadeXL/2 Player/TwoP Tetris.hex;;;1.0;Cedric Martin;Another falling-block game sort of like Tetris but for two players.;;;https://github.com/skaterced/Twotris;;;;
4;Action;8BitCadeXL/category-screens/Action.png;;;;;;;;;;;;;
4;Lode Runner;8BitCadeXL/Action/LodeRunner.png;8BitCadeXL/Action/LodeRunner.hex;8BitCadeXL/Action/LevelData.bin;;1.0;Press Play On Tape;Collect all of the gold pieces without being touched by a guard then make your way to the top of the screen and to the next level. Stop guards by burning a hole in normal bricks so that they will fall in - revealing any gold they might be carrying.;;https://community.arduboy.com/t/lode-runner-fx/10313;https://github.com/Press-Play-On-Tape/LodeRunner_FX;175;186;0;
4;A To Bee;8BitCadeXL/Action/A To Bee.png;8BitCadeXL/Action/A To Bee.hex;;;1.0;Unknown;Collect pollen from nearby flowers and return it to the hive without being hit by other bees.;;;;;;;
4;APara;8BitCadeXL/Action/APara.png;8BitCadeXL/Action/APara.hex;;;1.0;leovt;Catch the paratroopers jumping out of a helicopter before they fall in the water.;;https://community.arduboy.com/t/apara-classic-paratrooper-catching-game/2538;https://github.com/leovt/APara;na;na;na;
4;ArduStar;8BitCadeXL/Action/ArduStar.png;8BitCadeXL/Action/ArduStar.hex;;;1.0;Keith M;A shoot 'em up in space.;;;;;;;
4;ArduSub;8BitCadeXL/Action/ArduSub.png;8BitCadeXL/Action/ArduSub.hex;;;1.0;King-Swood;A simple button-mashing/beat-the-clock game where the player must avoid the mines and survive for as long as possible.;;;;;;;
4;Back To The Jungle;8BitCadeXL/Action/Back2Jungle.png;8BitCadeXL/Action/Back2Jungle.hex;;;1.8;eried;The Zoo had to close, what can the animals do? A small arcade game, inspired slighty on frogger (but sideways).;;https://community.arduboy.com/t/back-to-the-jungle-entry-for-the-jam/3542;https://github.com/eried/ArduboyBackToTheJungle;116;121;0;
4;Bangi;8BitCadeXL/Action/Bangi.png;8BitCadeXL/Action/Bangi.hex;;;1.0;Igvina;Bangi is a classic arcade game where you must shoot and destroy each of the balloons that appear in each level.;;https://community.arduboy.com/t/bangi-destroy-all-the-balloons/2016;http://moblynx.com/arduboy/Bangi_1.0_arduboy.zip;144;152;0;
4;Block Stacker;8BitCadeXL/Action/BlockStacker.png;8BitCadeXL/Action/BlockStacker.hex;;;1.0;Dragula96;Stacker clone like the game at the arcade that gives you a chance to win a prize, however in this one the only thing you win is satisfaction!.;;;;;;;
4;Chicken Launcher;8BitCadeXL/Action/Chicken Launcher.png;8BitCadeXL/Action/Chicken Launcher.hex;;;1.1;Crait;Shoot a chicken as far as you can. Try to hit springboards to give you a boost but watch out for spikes!;;https://community.arduboy.com/t/chicken-launcher-a-bird-flinging-game/2142;http://crait.net/download.php?file=ChickenLauncher.ino;420;423;0;
4;Chicken Cross;8BitCadeXL/Action/ChickenX.png;8BitCadeXL/Action/ChickenX.hex;;;1.0;Dragula96;This game started out its life as a Frogger clone, ended up being a Freeway clone.;;;;;;;
4;Chrome Dino;8BitCadeXL/Action/Chome Dino.png;8BitCadeXL/Action/Chome Dino.hex;;;1.0;Flaki;A version of Chrome's (in?)famous dino side-scroller running-man-style dino jumper.;;https://community.arduboy.com/t/chrome-dino-offline-side-scroller/480;https://github.com/flaki/arduino-rund-ino;na;na;na;
4;Crate Confusion;8BitCadeXL/Action/Crate-Confusion.png;8BitCadeXL/Action/Crate-Confusion.hex;;;1.0;Phoboslab;Manoeuvre the space ship to collect the crates.;;;https://github.com/phoboslab/arduboy-games;na;na;na;
4;Crazy Bird;8BitCadeXL/Action/Crazy Bird.png;8BitCadeXL/Action/Crazy Bird.hex;;;1.0;JuiceLizard;An alternative version of 'Flappy Ball' on Arduboy that provides more challenge.;;;;;;;
4;DanceRow;8BitCadeXL/Action/Dancerow.png;8BitCadeXL/Action/Dancerow.hex;;;1.0;madya121;An Audition Dance Game clone for Arduboy;;https://community.arduboy.com/t/dancerow-an-audition-dance-game-clone-for-arduboy-v-1-0/4189;https://github.com/madya121/DanceRow;na;na;na;
4;DDRBoy (Dance Dance Revolution);8BitCadeXL/Action/DDR Boy.png;8BitCadeXL/Action/DDR Boy.hex;;;1.0;tytydraco;Test your reflexes and your ability to keep up with the buttons. It is super intense and never gets boring because its so addictive!;;;;;;;
4;Evasion;8BitCadeXL/Action/Evasion.png;8BitCadeXL/Action/Evasion.hex;;;1.0;obono;Control the runing guy and evade pillars.;;;;;;;
4;Fanboat;8BitCadeXL/Action/Fanboat.png;8BitCadeXL/Action/Fanboat.hex;;;1.0;fanboat;Dodge gators on your propeller-powered pontoon as it rages faster and faster across the big black bayou. If you can pick up juice for your grandfather's old shield generator, you can pass right through the congregation as long as it's powered up;;https://community.arduboy.com/t/fanboat-dodge-the-gators/1309;https://codebender.cc/sketch:311685;0;20;0;
4;Trolly Fish;8BitCadeXL/Action/FISH.png;8BitCadeXL/Action/FISH.hex;;;1.0;Team ARG;Little fish. Big fish, swimming in the water. Com back here, man. Give me back my star!;;https://community.arduboy.com/t/trolly-fish-sixth-team-a-r-g-game/929;;na;na;na;
4;Flappy Ball;8BitCadeXL/Action/FlappyBall.png;8BitCadeXL/Action/FlappyBall.hex;;;1.0;Chris;A flappy bird clone.;;https://community.arduboy.com/t/flappy-ball/1011;https://github.com/MLXXXp/FlappyBall;na;na;na;
4;Frog Egg;8BitCadeXL/Action/Frog Wizard.png;8BitCadeXL/Action/Frog Wizard.hex;;;1.0;eggboycolor;Collect all the eggs in this Mario like game.;;;;;;;
4;Frogger;8BitCadeXL/Action/Frogger.png;8BitCadeXL/Action/Frogger.hex;;;1.0;csmick;Recreation of the classic game Frogger.;;;;;;;
4;Froggy Toad;8BitCadeXL/Action/Froggy Toad.png;8BitCadeXL/Action/Froggy Toad.hex;;;1.0;Unknown;Another frogger clone.;;;;;;;
4;Gravitron;8BitCadeXL/Action/Gravitron.png;8BitCadeXL/Action/Gravitron.hex;;;1.0;zogurt;In Astroship Gravitron you are a controlling a space ship trying to pass the infamous 5 doge it challenges. In order to pass each level you must not let a single asteroid touch your ship.;;;;;;;
4;Spooky Ghost Halloween Chrome Dino;8BitCadeXL/Action/Hallo.png;8BitCadeXL/Action/Hallo.hex;;;1.0;Flaki;A version of Chrome's (in?)famous dino side-scroller running-man-style dino jumper but this time in a Halloween theme.;;https://twitter.com/slsoftworks/status/660631805029142528;https://github.com/flaki/arduino-rund-ino;;;;
4;Helii;8BitCadeXL/Action/Helii.png;8BitCadeXL/Action/Helii.hex;;;1.0;BHSPitMonkey;Helii is a port of my homebrew clone of the old Flash 'Helicopter Game' and its ilk (i.e. game type that Flappy Bird is a variation of). As you fly through the tunnel the gap becomes more narrow and more challenging - How far can you go?;;https://community.arduboy.com/t/helii-a-side-scrolling-tunnel-game/2451;https://github.com/BHSPitMonkey/Helii-Arduboy;na;na;na;
4;Inferno;8BitCadeXL/Action/Inferno.png;8BitCadeXL/Action/Inferno.hex;;;1.0;Unknown;Space shoot 'em up.;;;;;;;
4;Kemono Patrol;8BitCadeXL/Action/Kemono_Patrol.png;8BitCadeXL/Action/Kemono_Patrol.hex;;;1.0;metalidol;A moon buggy-style game.;;https://twitter.com/metalidol/status/843874920052346881;https://t.co/rpeVJjLoLJ;na;na;na;
4;KeyKat;8BitCadeXL/Action/Keykat.png;8BitCadeXL/Action/Keykat.hex;;;1.0;pngwen;You are an I.T. worker named KeyKat. You must run around and turn computers off and back on again when they fail.;;https://community.arduboy.com/t/keykat-i-t-turn-the-computers-off-and-back-on-again/4606;https://github.com/pngwen/keykat-it;na;na;na;
4;Lander;8BitCadeXL/Action/Lander.png;8BitCadeXL/Action/Lander.hex;;;1.0;Yoda;A lunar lander clone.;;;;;;;
4;Lasers;8BitCadeXL/Action/Lasers.png;8BitCadeXL/Action/Lasers.hex;;;1.0;Obono;Lasers - A simple Ikaruga-like game.;;https://community.arduboy.com/t/lasers-a-simple-ikaruga-like-game/7310s;https://github.com/obono/ArduboyWorks;960;991;0;
4;Leanna The Lion;8BitCadeXL/Action/LeLion.png;8BitCadeXL/Action/LeLion.hex;;;1.0;shdwwzrd;Leanna may be a lion, but she knows what she likes: She wants fresh meat from her favorite restaurant.;;https://community.arduboy.com/t/leanna-the-lion-game-jam-entry/3560;;984;985;0;
4;Lunar;8BitCadeXL/Action/Lunar.png;8BitCadeXL/Action/Lunar.hex;;;1.0;Nave_99 Evan Morschhauser;A lunar lander clone.;;;;;;;
4;Obstacle Flight;8BitCadeXL/Action/Obstacle Flight.png;8BitCadeXL/Action/Obstacle Flight.hex;;;1.0;Unknown;Avoid the obstacles as you fly along the trench.;;;;;;;
4;Ozzy The Cat;8BitCadeXL/Action/Ozzy The Cat.png;8BitCadeXL/Action/Ozzy The Cat.hex;;;1.0;Aaron Parecki;Ozzy the Cat, the official unofficial mascot of #OAuth, is making his debut on the Arduboy!;;;;;;;
4;Quick Block;8BitCadeXL/Action/Quick_Block.png;8BitCadeXL/Action/Quick_Block.hex;;;1.0;Ashteroide;Quick Block is simple game, tag all blocks in the chosen time limit. Challenge your friends to the fastest time with 100th of milliseconds accuracy.;;;;;;;
4;Rysk;8BitCadeXL/Action/Rysk.png;8BitCadeXL/Action/Rysk.hex;;;0.10;Rysk;Catch as many balls as you can in the allotted time.;;;;;;;
4;Snakeling;8BitCadeXL/Action/Snakeling.png;8BitCadeXL/Action/Snakeling.hex;;;1.0;Unknown;The classic Nokia snake game.;;;;;;;
4;Turtle Bridge;8BitCadeXL/Action/TurtleBridge.png;8BitCadeXL/Action/TurtleBridge.hex;;;1.3;Press Play On Tape;A remake of the classic Game and Watch game Turtle Bridge. Carry the package to the awaiting truck by jumping across the turtle's backs. Watch out as they may dive for a snack!;;https://community.arduboy.com/t/turtle-bridge-1-3/7786;https://github.com/Press-Play-On-Tape/TurtleBridge;171;197;0;
4;TinyShips;8BitCadeXL/Action/Tiny Ships.png;8BitCadeXL/Action/Tiny Ships.hex;;;1.0;icodealot;A space shoot 'em up!;;;;;;;
4;Train Dodge;8BitCadeXL/Action/TrainDodge.png;8BitCadeXL/Action/TrainDodge.hex;;;1.1;Crait;Who's brave enough to play chicken with a train? Stand on the track as multiple trains come at you full-speed.. The closer they get to you before jumping off the tracks, the more points you'll rack up.;;https://community.arduboy.com/t/train-dodge-single-button-reflex-game/2099;http://crait.net/download.php?file=TrainDodge.ino;416;417;0;
4;Turtle Baby;8BitCadeXL/Action/TurtleBaby.png;8BitCadeXL/Action/TurtleBaby.hex;;;1.0;Unknown;Collect all the coins as you swim around.;;;;;;;
4;Unicorn Dash;8BitCadeXL/Action/Unicorn_dash.png;8BitCadeXL/Action/Unicorn_dash.hex;;;1.0;YossaVonK;An endless runner with .. well .. a unicorn!;;https://community.arduboy.com/t/unicorn-dash-a-simple-endless-runner/5121;;;;;
4;You Wont Survive;8BitCadeXL/Action/YouWontSurvive.png;8BitCadeXL/Action/YouWontSurvive.hex;;;1.0;AstroAndre;Avoid incoming enemies on two different modes and test your reflexes.;;https://community.arduboy.com/t/you-wont-survive-simple-arcade-game/2530;https://github.com/AstroAndre/YouWontSurvive;na;na;na;
5;Apps;8BitCadeXL/category-screens/Apps.png;;;;;;;;;;;;;
5;ArduMetronome;8BitCadeXL/Apps/ArduMetronome.png;8BitCadeXL/Apps/ArduMetronome.hex;;;1.0;raspberrybrain;Use it when practicing a musical instrument (except for maybe a drum set, it probably isn't loud enough for that), or turn it on and hide it somewhere to annoy your family, friends and loved ones with incessant beeps.;;https://community.arduboy.com/t/ardumetronome/8289;https://github.com/ajsaucier/ArduMetronome;na;na;na;
5;Ardutosh;8BitCadeXL/Apps/Ardutosh.png;8BitCadeXL/Apps/Ardutosh.hex;;;1.0;jhhoward;Ardutosh is an OS / desktop environment for the Arduboy. The style is inspired by the classic Macintosh interface. It has the following features: Serial terminal, Remote app, Notes text editor, EEPROM hex editor, Battery voltage monitor, Internal temperature monitor, LED tester;;https://community.arduboy.com/t/ardutosh-classic-macintosh-style-desktop-environment/8298;https://github.com/jhhoward/Ardutosh/releases;16;420;0;
5;Arduboy Light Meter;8BitCadeXL/Apps/LightMeter.png;8BitCadeXL/Apps/LightMeter.hex;;;1.0;MLXXXp;I'm not sure if this falls under useful or useless. I'll let others be the judge. It's definitely useless in the emulator. You'll have to load it into a real Arduboy.;;https://community.arduboy.com/t/light-meter/8325;https://github.com/MLXXXp/ArduboyLightMeter;780;785;0;
5;PI 24K - a browser of the Circular Constant;8BitCadeXL/Apps/Pi24k.png;8BitCadeXL/Apps/Pi24k.hex;;;1.0;obono;You can see 24,576 digits of circular constant. You may enjoy the mysterious melody and perform of light generated from the digit sequence.;;https://community.arduboy.com/t/pi-24k-a-browser-of-circular-constant/8290;https://github.com/obono/ArduboyWorks;;;;
6;Board;8BitCadeXL/category-screens/Board.png;;;;;;;;;;;;;
6;Arduchess;8BitCadeXL/Board/Arduchess.png;8BitCadeXL/Board/Arduchess.hex;;;1.0;Brow1067;Play chess on the Arduboy!;;https://community.arduboy.com/t/arduchess-play-chess-on-the-arduboy/9676;https://github.com/tiberiusbrown/arduchess;;;;
6;Arduslide;8BitCadeXL/Board/ArduSlide.png;8BitCadeXL/Board/ArduSlide.hex;;;1.0;gooberdlx;A tile slider game.;;https://community.arduboy.com/t/arduslide-simple-tile-slide-game/1758;https://github.com/whoisjake/arduslide;na;na;na;
6;Battleships;8BitCadeXL/Board/Battleships.png;8BitCadeXL/Board/Battleships.hex;;;1.0;Botisaurus;The classic battleships board game on the Arduboy!;;;;;;;
6;Blackjack;8BitCadeXL/Board/Blackjack.png;8BitCadeXL/Board/Blackjack.hex;;;1.0;Press Play on Tape;The classic casino game. This implementation plays a 'unified' version of the various BlackJack games from different casinos around the world. It allows splits, double up and insurance on a dealer blackjack and so forth.;;https://community.arduboy.com/t/blackjack-v1-0/6668;https://github.com/Press-Play-On-Tape/Blackjack;na;na;na;
6;Cribbage;8BitCadeXL/Board/Cribbage.png;8BitCadeXL/Board/Cribbage.hex;;;1.0.1;Press Play On Tape;Classic English game of Cribbage - a luck and tactics card game.;;https://community.arduboy.com/t/cribbage-v1-0-1/8122;https://github.com/Press-Play-On-Tape/Cribbage;101;102;0;
6;Darkstar;8BitCadeXL/Board/Darkstar.png;8BitCadeXL/Board/Darkstar.hex;;;1.0;Mr.Blinky;A little puzzle game based on the HP48 / TI83 calculator game Dstar.;;https://community.arduboy.com/t/dark-star-puzzle-game/8570;https://github.com/MrBlinky/DarkStar;na;na;na;
