List;Description;Title;Hex;Data;Save;Version;Developer;Info;Likes;URL;Source;Start;End;Hash
0;Bootloader;arduboy-fx-loader.png;;;;;;;;;;;;
1;Humanity Revenge;Shooter/HumanityRevenge.png;Shooter/HumanityRevenge.hex;;;1.0;giangregorioc;It's a shoot 'em up quite hard, with 3 ship to choose from (different speed and weapons), 5 enemies with different characteristics, three big bosses, bomb and power-up, highscore and so on.;;https://community.arduboy.com/t/humanity-revenge-is-back-humanity-revenge-directors-cut/4296;https://github.com/giangregorio/Humanity_Revenge_DC;32;45;0;
1;3in1D;Multi/3in1D.png;Multi/3in1D.hex;;;1.0;Daniel C (Electro L.I.B);Three games in one - Tiny DDug, Tiny Plaque, Tiny Tris.;;https://sites.google.com/view/arduino-collection/arduboy;https://drive.google.com/uc?export=download&id=1OT24MOOqKJlgXeFPIuMhO8Yzm8M_vFS3;17;22;0;
1;Sensitive;Puzzle/Sensitive.png;Puzzle/Sensitive.hex;;;2.0;spinal;A remake of the classic C64 game Sensitive by Oliver Kirwa. This version features grey-scale graphics.;;https://community.arduboy.com/t/game-sensitive/3180;http://socoder.net/uploads/124/Sensitive_WIP.zip;na;na;na;
1;'Ard Drivin';Racing/Arddriving.png;Racing/Arddriving.hex;;;1.0;Rem;A fast paced racing sim.;;https://community.arduboy.com/t/ard-drivin-fast-paced-racing-sim/3178;https://github.com/rveilleux/ard-drivin;na;na;na;
1;Omega Horizon;Platformer/OmegaHorizon.png;Platformer/OmegaHorizon.hex;;;1.3;shdwwzrd;The planet of Turnax has extensive mineral deposits of high value to the Interplanetary Allied Confederation (IPAC). Recent unanticipated attacks by primative species have proven damaging to mining operations. Your mission is to eliminate the primitive hierarchy in minimal time.;;https://community.arduboy.com/t/omega-horizon-a-neo-retro-game/3620;,;na;na;na;
1;Starduino Turbo;Shooter/starduino-turbo.png;Shooter/starduino-turbo.hex;;;1.0;Stephane Hockenhull;Starduino - Star Fox inspired 3D rail shooter for Arduboy.;;https://community.arduboy.com/t/starduino-turbo-star-fox-inspired-3d-rail-shooter-better-faster-stro;;na;na;na;
1;3in1E;Multi/3in1E.png;Multi/3in1E.hex;;;1.0;Daniel C (Electro L.I.B);Three games in one - Tiny Missile, Tiny Morpion, Tiny Pipe;;https://sites.google.com/view/arduino-collection/arduboy;https://drive.google.com/uc?export=download&id=11JHn4g3BesoSKUYAx-X4tzLa-TEbuY5y;;;;
1;ArduBullets;Shooter/ardubullets.png;Shooter/ardubullets.hex;;;1.0;Obono;Avoid voluminous bullets and defeat enemy squadron in one minute.;;https://community.arduboy.com/t/ardubullets-a-short-time-shmups-game/8684;https://github.com/obono/ArduboyWorks;1008;1023;0;
1;Fast;Action/Fast.png;Action/fast-0.2.0.hex;;;0.2.0;Byron Holldorf;A tube racing game.;;https://community.arduboy.com/t/re-build-your-own-arduboy-fx-cart-image/10823;https://github.com/byronholldorf/Fast;;;;
1;Evade 2;Arcade/Evade2.png;Arcade/Evade2.hex;;;1.0;Modus Create;A space flight / fight simulator.;;https://community.arduboy.com/t/evade-2-arduboys-first-space-flight-sim/4634;https://github.com/ModusCreateOrg/evade2;na;na;na;
1;Crates 3D;Puzzle/Crates3d.png;Puzzle/Crates3d.hex;;;1.0;Brian;A port of the 3D puzzle game originally written for the TI-83 calculator.;;https://community.arduboy.com/t/crates-3d-a-port-of-the-ti-83-puzzle-game/1540;https://github.com/briansm-github/Crates3D/;150;923;0;
1;Blackjack;Misc/Blackjack.png;Misc/Blackjack.hex;;;1.0;Press Play on Tape;The classic casino game. This implementation plays a 'unified' version of the various BlackJack games from different casinos around the world. It allows splits, double up and insurance on a dealer blackjack and so forth.;;https://community.arduboy.com/t/blackjack-v1-0/6668;https://github.com/Press-Play-On-Tape/Blackjack;na;na;na;
1;Nautical Rescue;Arcade/NauticalRescue.png;Arcade/NauticalRescue.hex;;;5.0;TropicAnthropic;Pilot your boat and rescue survivors from the ocean. ;;https://community.arduboy.com/t/nautical-rescue/11697/2;;;;;
1;Tiny Trick Hockey;Sports/tinytrick.png;Sports/tinytrick.hex;;;1.0;ElectroLIB;Icehockey for the Arduboy.;;https://sites.google.com/view/arduino-collection/arduboy;https://drive.google.com/uc?export=download&id=1SIyvId4Zpjeoa8V1aK4lMMnLFy-6uhZq;;;;
1;Squario;Platformer/Squario.png;Platformer/Squario.hex;;;1.0;Chris;Here is is the jumping square man adventure you've all been looking for! Jump over chasms! Jump on top of bad guys! Jump into Question blocks and get points! Points!!;;https://community.arduboy.com/t/squario-the-ultimate-adventure/1257;https://github.com/arduboychris/Squario;50;99;0;
1;Platformer;Platformer/platformer.png;Platformer/platformer.hex;;;1.0;B.F;[WIP] It's not much more than a few levels with a couple of different themes.;;https://community.arduboy.com/t/a-little-platformer-that-i-made/9752;;;;;
1;SF Cave;Arcade/SFCave.png;Arcade/SFCave.hex;;;1.0;Slade1972;A remake of a palm pilot game.;;https://community.arduboy.com/t/port-of-sfcave-by-stephanie-maks/2955;https://github.com/Slade1972/SFCave;16;22;0;
1;Kemono Patrol;Shooter/KemonoPatrol.png;Shooter/KemonoPatrol.hex;;;1.0;metalidol;A moon buggy-style game.;;https://twitter.com/metalidol/status/843874920052346881;https://t.co/rpeVJjLoLJ;na;na;na;
1;The Bounce;Platformer/bounce.png;Platformer/bounce.hex;;;1.0;Joshimuz;The Bounce is a bouncy ball physics platformer game. Simple to understand yet incredibly hard to master, what seems easy at first glance is actually pretty rage inducing when you get to the later levels.;;https://community.arduboy.com/t/the-bounce-a-ball-physics-platformer/2144;https://github.com/Joshimuz/TheBounceArduboy;450;450;0;
1;Not Just A Hat Rack;Platformer/njahr.png;Platformer/njahr.hex;;;1.0;Hundstrasse;A fast paced platformer.;;https://community.arduboy.com/t/not-just-a-hat-rack-fast-paced-platformer/3083;https://hundstrasse.com/not-just-a-hat-rack/;na;na;na;
1;Burgard Time;Arcade/BurgardTime.png;Arcade/BurgardTime.hex;;;1.0;pixelplatforms;Peter Pepper  must walk over hamburger ingredients located across a maze of platforms while avoiding characters who pursue him.;;https://community.arduboy.com/t/new-game-burgardtime/2052;https://github.com/gdmcvittie/BurgardTime;na;na;na;
1;Joustish;Arcade/joustish.png;Arcade/joustish.hex;;;1.0;wuuff;A game quite like Joust!;;https://community.arduboy.com/t/joustish-a-game-quite-like-joust/5504;https://github.com/wuuff/joustish;709;744;0;
1;Millipe;Arcade/Millipe.png;Arcade/Millipe.hex;;;1.0;Dreamer2345;A small Centipede clone.;;https://community.arduboy.com/t/millipe-game-for-arduboy/4746;https://github.com/Dreamer2345/Millipe;na;na;na;
1;DefenderFX;Arcade/DefenderFX.png;Arcade/DefenderFX.hex;Arcade/DefenderFX-data.bin;Arcade/DefenderFX-save.bin;V1.0;Press Play on Tape;Inspired by the classic game, Defender.;;https://community.arduboy.com/t/defender-fx-v1-0/11918;https://github.com/Press-Play-On-Tape/Defender;;;;
1;Defenduino;Shooter/Defender.png;Shooter/Defender.hex;;;V1.2;Alex McChesney;An arcade classic comes to your Arduboy. Skim the planets surface defending the helpless humanoids from the evil alien landers intent on abducting them and becoming powerful mutants. Controls Fly your ship with updownleft and right. Press B to fire and A to activate your smart bomb In an emergency pressing AB together will activate your hyperdrive and send you to a random part of the planet. but beware It may not be a safe spot. You start with three lives and three bombs. An extra life and smart bomb are awarded every 10000 points. ;;https://washingup.itch.io/defenduino;https://bitbucket.org/alexmcchessers/defenduino/src/master/;;;;
1;Darkstar;Misc/Darkstar.png;Misc/Darkstar.hex;;;1.0;Mr.Blinky;A little puzzle game based on the HP48 / TI83 calculator game Dstar.;;https://community.arduboy.com/t/dark-star-puzzle-game/8570;https://github.com/MrBlinky/DarkStar;na;na;na;
1;Rooftop Rescue;Action/rooftop.png;Action/rooftop.hex;;;1.0;Prototype;Rescue the trapped people as fire consumes the city.;;https://community.arduboy.com/t/rooftop-rescue/7269;https://github.com/BertVeer/Rooftop;911;913;0;
1;Space Cab;Arcade/SpaceCab.png;Arcade/SpaceCab.hex;;;1.0.1;Press Play On Tape;A tribute to the classic Commodore 64 game Space Taxi! Collect and deliver customers to their destination as quickly as possible to make the most money! But be careful and make sure you do not run out of fuel land without deploying your landing gear or squash a customer.;;https://community.arduboy.com/t/space-cab-v1-0-1/6055;https://github.com/Press-Play-On-Tape/SpaceCab;166;193;0;
1;Hopper;Action/hopper.png;Action/hopper.hex;;;1.0;Obono;There are square panels around you. You must jump on them and go up (foreground side). If you miss the panel and fall toward bottom, the game is over.;;https://community.arduboy.com/t/hopper-a-simple-action-game/4293;https://github.com/obono/ArduboyWorks;800;831;0;
1;Minesweeper;Puzzle/Minesweeper.png;Puzzle/Minesweeper.hex;;;1.0;Pharap;The classic Minesweeper for the Arduboy.;;https://community.arduboy.com/t/minesweeper-v2-0-0-multiple-languages-available/5642;https://github.com/Pharap/Minesweeper;512;523;1;
1;Kwirk;Puzzle/Kwirk.png;Puzzle/Kwirk.hex;Puzzle/Kwirk-data.bin;Puzzle/Kwirk-save.bin;V1.1;Press Play on Tape;Kwirk is a remake of the GameBoy game ... Kwirk.;;https://community.arduboy.com/t/kwirk-v1-0/11737;https://github.com/Press-Play-On-Tape/Kwirk;;;;
1;Paku Paku - 1D Pac-Man;Action/cglabPakuPaku.png;Action/cglabPakuPaku.hex;;;;obono;Paku Paku is a very simple but addictive game that was created by Kenta Cho of ABA games.;;https://community.arduboy.com/t/paku-paku-1d-pac-man/11749;https://github.com/obono/crisp-game-lib-arduboy;;;;
1;Lode Runner;Action/LodeRunner.png;Action/LodeRunner.hex;Action/LevelData.bin;;1.0;Press Play On Tape;Collect all of the gold pieces without being touched by a guard then make your way to the top of the screen and to the next level. Stop guards by burning a hole in normal bricks so that they will fall in - revealing any gold they might be carrying.;;https://community.arduboy.com/t/lode-runner-fx/10313;https://github.com/Press-Play-On-Tape/LodeRunner_FX;175;186;0;
1;PixelPortal;Action/PixelPortal.png;Action/PixelPortal.hex;;;1.0;jaguile6;Navigate your pixel through the various levels in this 2D portal like game.;;https://community.arduboy.com/t/pixel-portal-game/10343;https://github.com/jaguile6/PixelPortal;;;;
1;AllYourArdu;Action/AllYourArdu.png;Action/AllYourArdu.hex;;;V1.4.1;Freezingsnail;AllYourArdu is a SHUMP based lightly based on zero wing & the 'All your base are belong to us' meme. ;;https://community.arduboy.com/t/allyourardu-meme-jam/11671;https://github.com/FreezingSnail/AllYourArdu;;;;
1;Tunnel Fighter;Action/TunnelFighter.png;Action/TunnelFighter.hex;;;V1.0;Tropic Anthropic;An arcade style shooter.;;https://community.arduboy.com/t/tunnel-fighter-arcade-shooter/11930;;;;;
1;Dazzle Dash;Action/DazzleDash.png;Action/DazzleDash.hex;Action/DazzleDash-data.bin;Action/DazzleDash-save.bin;1.0;brow1067;A cute speedrunning platformer featuring cute graphics, smooth camera and movement mechanics, and a variety of enemies and environments;;https://community.arduboy.com/t/dazzle-dash-cute-speedrunning-platformer/11772/1;https://github.com/tiberiusbrown/abc/tree/master/examples/platformer;;;;
1;Space Quarth;Puzzle/spacequarth.png;Puzzle/spacequarth.hex;;;1.0;Schuemi;A space shoot 'em up.;;https://community.arduboy.com/t/game-space-quarth/4635;https://github.com/Schuemi/SpaceQuarth;16;536;0;
1;Paqman;Arcade/paqman.png;Arcade/paqman.hex;;;1.0;Yoda;Gamebuino port of the classic Pacman.;;http://legacy.gamebuino.com/forum/viewtopic.php?f=17&t=963;;na;na;na;
1;Hollow Seeker;Arcade/hollowseeker.png;Arcade/hollowseeker.hex;;;1.0;Obono;Go forward in right direction. Seek a hollow as refuge not to be crushed.;;https://community.arduboy.com/t/hollow-seeker-a-simple-action-game/2594;https://github.com/obono/ArduboyWorks;768;799;0;
1;Tiny Plaque;Shooter/TinyPlaque.png;Shooter/TinyPlaque.hex;;;1.0;ElectroLIB;Protect your host's teeth from plaque in this little shmup.;;https://sites.google.com/view/arduino-collection/arduboy2_license;https://drive.google.com/uc?export=download&id=1GQSsQF4D2L8sXf5ZMATlizDYa3G2Zm7v;na;na;na;
1;Sea Battle;Puzzle/SeaBattle.png;Puzzle/SeaBattle.hex;;;1.0;DarkestSpire;Based on the game BattleShips. This game has a simple AI and music, but is smart enough to be challenging.;;https://community.arduboy.com/t/sea-battle/9394;https://github.com/DarkestSpire/SEA_BATTLE;;;;
1;Circuit Dude;Puzzle/CircuitDude.png;Puzzle/CircuitDude.hex;;;3.2;Crait;Help Circuit Dude build an awesome invention by leading him through 75 unique levels, completing circuits and plugging in microchips. After all chips are inserted into their sockets, the exit will activate and you can advance to the next puzzle! What kind of secret invention is Circuit Dude building? Complete all of the levels to find out!;;https://community.arduboy.com/t/circuit-dude-3-2-update-75-levels-level-editor-sharing-tool/2490;http://crait.net/download.php?file=CircuitDude.ino;106;526;0;
1;Tiny SQuest;Arcade/TinySQuest.png;Arcade/TinySQuest.hex;;;1.0;Daniel C Electro L.I.B;TinySQuest like SeaQuest for the Atari 2600;;https://www.tinyjoypad.com;https://github.com/phoenixbozo/TinyJoypad/tree/main/TinyJoypadTinySQuest like SeaQuest atari 2600;;;;
1;Tiny Lander;Arcade/TinyLander.png;Arcade/TinyLander.hex;;;1.0;Roger Buehler;Tiny Lander;;https://github.com/tscha70/;https://github.com/tscha70/;;;;
1;Stonk Simulator;Action/StonkSimulator.png;Action/StonkSimulator.hex;;;V1.0;Laconic;Your goal is to make $1 Million in cash starting from just $10,000.;;https://community.arduboy.com/t/stonk-simulator/11693;https://github.com/laconic-code/arduboy-stonk-simulator;;;;
1;MicroTD;Puzzle/microtd.png;Puzzle/microtd.hex;;;1.1;drummyfish;Defend your territory from the enemy attackers.;;https://community.arduboy.com/t/microtd-tower-defense-for-arduboy/6223;https://gitlab.com/drummyfish/Arduboy_TD;202;207;0;
1;Road Trip;Racing/RoadTrip.png;Racing/RoadTrip.hex;;;1.1;Press Play on Tape;Inspired by the Atari 2600 game Enduro. Strap on your goggles. Sink into your seat. And leave all your fears in the pit. You're about to enter the race of your life. You'll be required to pass lots of cars each day. From sunrise to sunset - as fast as you can. Welcome to the National Enduro!;;https://community.arduboy.com/t/road-trip-v1-1/9716;https://github.com/Press-Play-On-Tape/RoadTrip;166;193;0;
1;Rick Arduous;Platformer/RickArduous.png;Platformer/RickArduous.hex;;;1.0;Lswbanban;Inspired by the retro-game Rick Dangerous, the player takes the role of an adventurer exploring caves in the hope of finding the Grail. The game propose a series of puzzles fitting in one screen. The player will have to reach the exit point of each screen to move to the next puzzle. The game propose 12 puzzle-screens with an increasing difficulty.;;https://community.arduboy.com/t/rick-ardurous-a-rick-dangerous-clone-on-arduboy/5561;https://github.com/Lswbanban/RickArdurous;;;;
1;Ardynia;RPG/ardynia.png;RPG/ardynia.hex;;;1.0;city41;Ardynia - a Zelda style adventure.;;https://community.arduboy.com/t/ardynia-a-zelda-style-adventure/6336;https://github.com/city41/ardynia/releases;64;124;0;
1;Tiny Sokoban;Puzzle/tinysokoban.png;Puzzle/tinysokoban.hex;;;1.0;akkera102;A clone of Sokoban (1982) using the Yoshio Murase Levels. These levels are very small but difficult and interesting.;;https://community.arduboy.com/t/tiny-sokoban-includes-52-levels/921;https://github.com/akkera102/05_tiny_sokoban;0;97;0;
1;18-Hole Mini Golf;Sports/ardugolf.png;Sports/ardugolf_fx.hex;Sports/ardugolf_fx.bin;;1.0;brow1067;18-hole Mini Golf game with stunning vector graphics!;;https://community.arduboy.com/t/ardugolf-18-hole-mini-golf/10462;https://github.com/tiberiusbrown/arduboy_minigolf;;;;
1;Mystic Balloon;arg/MysticBalloon.png;arg/MysticBalloon.hex;;;1.0;Team ARG;Jump around, jump up and get down, jump around, float around, jump float, jump, float. Collect those coins.;;https://community.arduboy.com/t/mystic-balloon-9th-team-a-r-g-game-39-levels/1983;https://github.com/Gaveno/ID-34-Mystic-Balloon;67;79;0;
1;Arduchess;Misc/Arduchess.png;Misc/arduchess.hex;;;1.0;Brow1067;Play chess on the Arduboy!;;https://community.arduboy.com/t/arduchess-play-chess-on-the-arduboy/9676;https://github.com/tiberiusbrown/arduchess;;;;
1;3D Maze;Action/3DMaze.png;Action/3DMaze.hex;;;V1.0;haloopdy;A simple maze game: find the exit! I promise you're alone in there!;;https://community.arduboy.com/t/3d-maze-its-in-the-title/11335;https://github.com/randomouscrap98/arduboy_collection;;;;
1;The Crawl;Platformer/TheCrawl.png;Platformer/TheCrawl.hex;;;1.0;andylatham82;The Crawl is a dungeon crawling platformer in which you have to find a path that allows you to discover enough keys to make it to the exit.;;https://community.arduboy.com/t/the-crawl-a-dungeon-crawling-platformer/7413;https://github.com/andylatham82/TheCrawl/releases;;;;
1;ArduMania;Action/ArduMania.png;Action/ArduMania.hex;;;V1.1;Electro LIB;A 3D Pacman.;;https://www.tinyjoypad.com;https://www.tinyjoypad.com/arduboy;36;45;;
1;Catacombs Of The Damned;Action/Cotd.png;Action/Cotd.hex;;;1.0;jhhoward;Catacombs of the Damned! is a first person shooter / dungeon crawler where you navigate 10 floors of a randomly generated dungeon dispatching monsters with your magic fireballs whilst collecting as much loot as possible.;;https://community.arduboy.com/t/catacombs-of-the-damned-formerly-another-fps-style-3d-demo/6565;https://github.com/jhhoward/Arduboy3D;na;na;na;
1;Wolfenduino 3D FX;Action/Wolfenduino.png;Action/Wolfenduino.hex;Action/Wolfenduino.bin;Action/Wolfenduino-save.bin;V1.0;jhhoward;Wolfenduino 3D is a demake of id software's Wolfenstein 3D for the Arduboy FX.;;https://community.arduboy.com/t/wolfenduino-3d-fx/11597;https://github.com/jhhoward/WolfenduinoFX;;;;
1;Prince of Arabia;Action/PrinceOfArabia.png;Action/PrinceOfArabia.hex;Action/PrinceOfArabia.bin;FXFiles/FXData_Save.bin;V1.3.0;Press Play on Tape;Inspired by a timeless classic, PPOT presents 'Prince of Arabia'. Escape the dungeons and free the princess!;;https://community.arduboy.com/t/prince-of-arabia-fx/10926;https://github.com/Press-Play-On-Tape/PrinceOfArabia;;;;
